,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,The Mighty Thor,1989,468,Issue,1993-11-01,Comicvine,61213,38108,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-468-distant-thunder/4000-38108/,0 days 00:00:00
2,Silver Surfer,1987,86,Issue,1993-11-01,Comicvine,3857,38105,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-86-blood-and-thunder-part-2-friends-/4000-38105/,30 days 00:00:00
3,Warlock Chronicles,1993,6,Issue,1993-12-01,Comicvine,5062,38302,Warlock Chronicles,1993, ,https://comicvine.gamespot.com/warlock-chronicles-6-blood-and-thunder-part-3-afte/4000-38302/,0 days 00:00:00
4,Warlock and the Infinity Watch,1992,23,Issue,1993-12-01,Comicvine,4818,38282,Warlock and the Infinity Watch,1992, ,https://comicvine.gamespot.com/warlock-and-the-infinity-watch-23-blood-and-thunde/4000-38282/,0 days 00:00:00
5,The Mighty Thor,1989,469,Issue,1993-12-01,Comicvine,61213,38266,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-469-absolute-power/4000-38266/,0 days 00:00:00
6,Silver Surfer,1987,87,Issue,1993-12-01,Comicvine,3857,38263,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-87-blood-and-thunder-part-6-strange-/4000-38263/,31 days 00:00:00
7,Warlock Chronicles,1993,7,Issue,1994-01-01,Comicvine,5062,38556,Warlock Chronicles,1993, ,https://comicvine.gamespot.com/warlock-chronicles-7-blood-and-thunder-part-7/4000-38556/,0 days 00:00:00
8,Warlock and the Infinity Watch,1992,24,Issue,1994-01-01,Comicvine,4818,38539,Warlock and the Infinity Watch,1992, ,https://comicvine.gamespot.com/warlock-and-the-infinity-watch-24-blood-and-thunde/4000-38539/,0 days 00:00:00
9,The Mighty Thor,1989,470,Issue,1994-01-01,Comicvine,61213,38515,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-470-ruins/4000-38515/,0 days 00:00:00
10,Silver Surfer,1987,88,Issue,1994-01-01,Comicvine,3857,38512,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-88-blood-and-thunder-part-10-common-/4000-38512/,31 days 00:00:00
11,Warlock Chronicles,1993,8,Issue,1994-02-01,Comicvine,5062,38696,Warlock Chronicles,1993, ,https://comicvine.gamespot.com/warlock-chronicles-8-blood-and-thunder-part-11/4000-38696/,0 days 00:00:00
12,Warlock and the Infinity Watch,1992,25,Issue,1994-02-01,Comicvine,4818,38678,Warlock and the Infinity Watch,1992, ,https://comicvine.gamespot.com/warlock-and-the-infinity-watch-25-blood-and-thunde/4000-38678/,0 days 00:00:00
13,The Mighty Thor,1989,471,Issue,1994-02-01,Comicvine,61213,38663,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-471-blood-and-thunder-part-13-fath/4000-38663/,0 days 00:00:00
